Subfolder,Dice Mean
146,0.9429158749787704
138,0.9418275252632472
186,0.9416291610054348
163,0.9414727584175442
174,0.941448626310929
159,0.94092435422151
141,0.9408146402110223
162,0.9407746688179348
190,0.9406693500021228
142,0.9403357298477836
192,0.9403205539869226
161,0.9402402794879416
185,0.9401475657587466
184,0.9398772198220958
164,0.9397535738737688
199,0.9396927875021228
191,0.9396841629691746
193,0.939606708029042
189,0.9395263506018596
144,0.939506779546323
180,0.9394986525825832
130,0.939487540203592
198,0.939482066942298
167,0.9394096706224524
178,0.9393328791079314
195,0.9392820441204568
187,0.9392356872558594
182,0.9392119697902512
148,0.9391855986221976
197,0.9391672714896824
154,0.93914156374724
194,0.9390652698019276
129,0.939050757366678
196,0.9389996735945992
165,0.9389173258905824
183,0.9387792504352072
149,0.9387153957201086
132,0.9386651412300442
135,0.9385855301566746
181,0.9384812894074812
188,0.9384676891824474
147,0.9384161907693614
145,0.9383730681046196
126,0.9382404659105384
175,0.9382077921991764
179,0.9380744436512822
131,0.938006774238918
140,0.937893245531165
176,0.9378123905347742
173,0.937790995058806
150,0.9373597684113876
136,0.9372518788213317
166,0.9371811410655146
128,0.9371263255243716
172,0.9370821247930112
168,0.9370243238366168
105,0.9368850873864216
139,0.9366555421248728
134,0.936654049417247
171,0.9366518103558084
160,0.9365741066310715
155,0.9359945214313008
177,0.9359233690344768
158,0.9358842269234036
169,0.935855367909307
123,0.9357815618100374
152,0.9356628086255944
104,0.9349043472953464
125,0.9348047505254332
157,0.9346635237984036
117,0.9344261003577192
156,0.9341447249702786
118,0.9339512534763502
112,0.9339381508205248
170,0.933449703714122
133,0.9333097209101138
119,0.933267178742782
151,0.9332334269648012
115,0.9320867787236752
109,0.9320202703061312
127,0.9319436446480128
153,0.9318119546641476
107,0.9317575537640116
121,0.931303356004798
143,0.9310841767684274
100,0.9308849003003992
114,0.930692423944888
122,0.9304149461829144
102,0.9302917148755944
101,0.9302490068518596
116,0.930219733196756
106,0.9291526131007982
110,0.9291275687839674
120,0.9290074058201002
113,0.927529708198879
124,0.9273584614629332
137,0.9246833635413128
111,0.923602809076724
103,0.9220325635827106
108,0.9219182055929432
