Subfolder,Dice Mean
177,0.6334386647873192
176,0.6299561127869769
174,0.6290382332926421
180,0.6290303016839762
175,0.6279022905195183
183,0.6264763478548002
150,0.6262576235377271
187,0.6261784498504133
165,0.6261215657794167
157,0.6258611418957976
194,0.625767800579691
195,0.6246515769784682
192,0.6241690904778977
196,0.6240858222472861
186,0.6233607505123815
198,0.6230308863694698
152,0.6225756066825551
160,0.6223792350941392
169,0.6222271503981237
199,0.6214176553328098
182,0.6202777146036603
189,0.6198574991408387
181,0.6193971145268223
190,0.6193327161163209
161,0.6190774873232809
188,0.6190096690982488
184,0.6188764079469413
159,0.618669877122461
185,0.6178943452156579
197,0.6169247200366537
173,0.615977821755315
191,0.6159662912537981
154,0.6156286834675752
167,0.6154339383320689
193,0.6153659776631918
178,0.6150921088852378
153,0.6143619278150533
158,0.6130481547884215
179,0.6128298427983235
168,0.6124710828419259
155,0.6124566023188512
162,0.6120614632159196
163,0.6107323974305514
170,0.6096059560042807
156,0.6095276794624161
172,0.6087040436414443
166,0.6065638697744201
164,0.6054547348564845
151,0.6046684275712159
171,0.6024966450966812
10,0.5587258666243321
11,0.5548262969516692
9,0.5016211247308033
7,0.5002268528802174
4,0.49946437413932254
6,0.49327118548584653
8,0.48851269157402966
5,0.47601943824392795
1,0.47601943824392795
3,0.47601943824392795
0,0.47601943824392795
2,0.47601943824392795
